"Tiempo (s) Serie Nº 1","Posición (m) Serie Nº 1"
0.020,0.222
0.040,0.222
0.060,0.222
0.080,0.221
0.100,0.221
0.120,0.221
0.140,0.221
0.160,0.220
0.180,0.220
0.200,0.220
0.220,0.220
0.240,0.221
0.260,0.222
0.280,0.224
0.300,0.226
0.320,0.230
0.340,0.234
0.360,0.238
0.380,0.243
0.400,0.249
0.420,0.255
0.440,0.263
0.460,0.271
0.480,0.279
0.500,0.288
0.520,0.298
0.540,0.308
0.560,0.320
0.580,0.331
0.600,0.344
0.620,0.357
0.640,0.371
0.660,0.383
0.680,0.398
0.700,0.414
0.720,0.430
0.740,0.447
0.760,0.465
0.780,0.483
0.800,0.504
0.820,0.524
0.840,0.542
0.860,0.563
0.880,0.584
0.900,0.607
0.920,0.630
0.940,0.653
0.960,0.677
0.980,0.704
1.000,0.727
1.020,0.755
1.040,0.782
1.060,0.809
1.080,0.837
1.100,0.864
1.120,0.890
1.140,0.903
1.160,0.910
1.180,0.919
1.200,0.926
1.220,0.930
1.240,0.934
1.260,0.937
1.280,0.941
1.300,0.946
1.320,0.949
1.340,0.952
1.360,0.955
1.380,0.956
1.400,0.957
1.420,0.958
1.440,0.959
1.460,0.959
1.480,0.959
1.500,0.958
1.520,0.958
1.540,0.958
1.560,0.957
1.580,0.957
1.600,0.957
1.620,0.957
1.640,0.957
1.660,0.957
1.680,0.957
1.700,0.957
1.720,0.958
1.740,0.958
1.760,0.959
1.780,0.959
1.800,0.959
1.820,0.959
1.840,0.959
1.860,0.958
1.880,0.958
1.900,0.958
1.920,0.958
1.940,0.958
1.960,0.958
1.980,0.958
2.000,0.958
