"Tiempo (s) Serie Nº 1","Posición (m) Serie Nº 1"
0.020,0.221
0.040,0.221
0.060,0.221
0.080,0.221
0.100,0.221
0.120,0.221
0.140,0.221
0.160,0.221
0.180,0.222
0.200,0.222
0.220,0.222
0.240,0.222
0.260,0.222
0.280,0.221
0.300,0.221
0.320,0.221
0.340,0.221
0.360,0.222
0.380,0.223
0.400,0.225
0.420,0.228
0.440,0.231
0.460,0.235
0.480,0.240
0.500,0.245
0.520,0.251
0.540,0.258
0.560,0.265
0.580,0.273
0.600,0.282
0.620,0.291
0.640,0.301
0.660,0.312
0.680,0.323
0.700,0.335
0.720,0.347
0.740,0.360
0.760,0.374
0.780,0.387
0.800,0.402
0.820,0.418
0.840,0.436
0.860,0.453
0.880,0.471
0.900,0.490
0.920,0.509
0.940,0.528
0.960,0.549
0.980,0.568
1.000,0.591
1.020,0.614
1.040,0.637
1.060,0.660
1.080,0.684
1.100,0.709
1.120,0.735
1.140,0.761
1.160,0.787
1.180,0.815
1.200,0.843
1.220,0.869
1.240,0.901
1.260,0.919
1.280,0.929
1.300,0.935
1.320,0.935
1.340,0.936
1.360,0.932
1.380,0.928
1.400,0.922
1.420,0.916
1.440,0.912
1.460,0.907
1.480,0.908
1.500,0.907
1.520,0.908
1.540,0.909
1.560,0.907
1.580,0.908
1.600,0.912
1.620,0.913
1.640,0.914
1.660,0.915
1.680,0.915
1.700,0.915
1.720,0.915
1.740,0.915
1.760,0.912
1.780,0.912
1.800,0.912
1.820,0.912
1.840,0.912
1.860,0.914
1.880,0.914
1.900,0.914
1.920,0.914
1.940,0.913
1.960,0.913
1.980,0.916
2.000,0.918
