"Tiempo (s) Serie Nº 1","Posición (m) Serie Nº 1"
0.020,0.222
0.040,0.222
0.060,0.223
0.080,0.223
0.100,0.223
0.120,0.223
0.140,0.223
0.160,0.224
0.180,0.224
0.200,0.224
0.220,0.225
0.240,0.227
0.260,0.229
0.280,0.232
0.300,0.236
0.320,0.240
0.340,0.245
0.360,0.251
0.380,0.257
0.400,0.264
0.420,0.272
0.440,0.280
0.460,0.289
0.480,0.299
0.500,0.309
0.520,0.320
0.540,0.331
0.560,0.344
0.580,0.357
0.600,0.370
0.620,0.384
0.640,0.397
0.660,0.413
0.680,0.429
0.700,0.446
0.720,0.463
0.740,0.481
0.760,0.500
0.780,0.519
0.800,0.539
0.820,0.560
0.840,0.582
0.860,0.604
0.880,0.626
0.900,0.649
0.920,0.673
0.940,0.698
0.960,0.723
0.980,0.750
1.000,0.777
1.020,0.804
1.040,0.832
1.060,0.860
1.080,0.887
1.100,0.919
1.120,0.943
1.140,0.960
1.160,0.969
1.180,0.969
1.200,0.967
1.220,0.965
1.240,0.963
1.260,0.961
1.280,0.960
1.300,0.961
1.320,0.962
1.340,0.965
1.360,0.968
1.380,0.972
1.400,0.976
1.420,0.980
1.440,0.985
1.460,0.989
1.480,0.993
1.500,0.996
1.520,0.998
1.540,1.001
1.560,1.003
1.580,1.003
1.600,1.003
1.620,1.001
1.640,1.000
1.660,0.999
1.680,0.998
1.700,0.998
1.720,0.998
1.740,0.999
1.760,1.000
1.780,1.001
1.800,1.002
1.820,1.002
1.840,1.002
1.860,1.001
1.880,1.001
1.900,1.000
1.920,1.000
1.940,1.000
1.960,1.000
1.980,1.000
2.000,1.000
