"Tiempo (s) Serie Nº 1","Posición (m) Serie Nº 1"
0.020,0.226
0.040,0.226
0.060,0.226
0.080,0.226
0.100,0.226
0.120,0.226
0.140,0.226
0.160,0.226
0.180,0.226
0.200,0.225
0.220,0.225
0.240,0.225
0.260,0.225
0.280,0.225
0.300,0.225
0.320,0.226
0.340,0.228
0.360,0.230
0.380,0.233
0.400,0.237
0.420,0.242
0.440,0.247
0.460,0.252
0.480,0.259
0.500,0.266
0.520,0.274
0.540,0.282
0.560,0.291
0.580,0.301
0.600,0.311
0.620,0.322
0.640,0.334
0.660,0.346
0.680,0.359
0.700,0.373
0.720,0.385
0.740,0.400
0.760,0.415
0.780,0.432
0.800,0.449
0.820,0.467
0.840,0.485
0.860,0.504
0.880,0.523
0.900,0.543
0.920,0.564
0.940,0.586
0.960,0.608
0.980,0.631
1.000,0.654
1.020,0.678
1.040,0.703
1.060,0.730
1.080,0.756
1.100,0.783
1.120,0.810
1.140,0.838
1.160,0.864
1.180,0.893
1.200,0.920
1.220,0.941
1.240,0.959
1.260,0.972
1.280,0.982
1.300,0.990
1.320,0.997
1.340,1.003
1.360,1.007
1.380,1.008
1.400,1.007
1.420,1.005
1.440,1.002
1.460,1.000
1.480,0.998
1.500,0.998
1.520,0.997
1.540,0.996
1.560,0.996
1.580,0.996
1.600,0.996
1.620,0.996
1.640,0.996
1.660,0.996
1.680,0.996
1.700,0.995
1.720,0.995
1.740,0.995
1.760,0.994
1.780,0.994
1.800,0.994
1.820,0.993
1.840,0.993
1.860,0.993
1.880,0.993
1.900,0.993
1.920,0.993
1.940,0.993
1.960,0.993
1.980,0.994
2.000,0.994
