"Tiempo (s) Serie Nº 2","Posición (m) Serie Nº 2"
0.020,0.221
0.040,0.221
0.060,0.221
0.080,0.220
0.100,0.221
0.120,0.221
0.140,0.221
0.160,0.221
0.180,0.221
0.200,0.221
0.220,0.221
0.240,0.221
0.260,0.221
0.280,0.221
0.300,0.221
0.320,0.221
0.340,0.221
0.360,0.222
0.380,0.222
0.400,0.222
0.420,0.223
0.440,0.225
0.460,0.227
0.480,0.230
0.500,0.234
0.520,0.238
0.540,0.243
0.560,0.249
0.580,0.255
0.600,0.262
0.620,0.269
0.640,0.278
0.660,0.287
0.680,0.296
0.700,0.306
0.720,0.317
0.740,0.328
0.760,0.340
0.780,0.353
0.800,0.366
0.820,0.381
0.840,0.393
0.860,0.408
0.880,0.427
0.900,0.443
0.920,0.461
0.940,0.478
0.960,0.497
0.980,0.516
1.000,0.536
1.020,0.556
1.040,0.578
1.060,0.599
1.080,0.622
1.100,0.644
1.120,0.668
1.140,0.692
1.160,0.717
1.180,0.743
1.200,0.769
1.220,0.795
1.240,0.823
1.260,0.851
1.280,0.877
1.300,0.904
1.320,0.928
1.340,0.950
1.360,0.971
1.380,0.986
1.400,1.000
1.420,1.011
1.440,1.018
1.460,1.018
1.480,1.014
1.500,1.009
1.520,1.004
1.540,1.000
1.560,0.997
1.580,0.993
1.600,0.991
1.620,0.990
1.640,0.989
1.660,0.990
1.680,0.991
1.700,0.992
1.720,0.994
1.740,0.995
1.760,0.997
1.780,0.998
1.800,0.998
1.820,0.998
1.840,0.998
1.860,0.997
1.880,0.997
1.900,0.998
1.920,0.998
1.940,0.999
1.960,1.000
1.980,1.000
2.000,1.001
