"Tiempo (s) Serie Nº 1","Posición (m) Serie Nº 1"
0.020,0.223
0.040,0.222
0.060,0.222
0.080,0.222
0.100,0.222
0.120,0.221
0.140,0.221
0.160,0.221
0.180,0.221
0.200,0.221
0.220,0.221
0.240,0.221
0.260,0.221
0.280,0.220
0.300,0.220
0.320,0.220
0.340,0.221
0.360,0.222
0.380,0.223
0.400,0.225
0.420,0.228
0.440,0.231
0.460,0.235
0.480,0.240
0.500,0.246
0.520,0.252
0.540,0.258
0.560,0.266
0.580,0.274
0.600,0.282
0.620,0.292
0.640,0.302
0.660,0.312
0.680,0.324
0.700,0.335
0.720,0.348
0.740,0.361
0.760,0.375
0.780,0.388
0.800,0.403
0.820,0.419
0.840,0.435
0.860,0.453
0.880,0.471
0.900,0.491
0.920,0.510
0.940,0.529
0.960,0.550
0.980,0.571
1.000,0.592
1.020,0.614
1.040,0.637
1.060,0.660
1.080,0.684
1.100,0.709
1.120,0.734
1.140,0.760
1.160,0.787
1.180,0.814
1.200,0.842
1.220,0.870
1.240,0.899
1.260,0.927
1.280,0.949
1.300,0.966
1.320,0.977
1.340,0.982
1.360,0.984
1.380,0.986
1.400,0.983
1.420,0.985
1.440,0.984
1.460,0.984
1.480,0.985
1.500,0.985
1.520,0.987
1.540,0.988
1.560,0.989
1.580,0.990
1.600,0.991
1.620,0.991
1.640,0.992
1.660,0.992
1.680,0.991
1.700,0.991
1.720,0.991
1.740,0.990
1.760,0.990
1.780,0.989
1.800,0.989
1.820,0.988
1.840,0.988
1.860,0.987
1.880,0.987
1.900,0.987
1.920,0.987
1.940,0.987
1.960,0.987
1.980,0.987
2.000,0.987
