"Tiempo (s) Serie Nº 1","Posición (m) Serie Nº 1"
0.020,0.227
0.040,0.227
0.060,0.226
0.080,0.226
0.100,0.226
0.120,0.226
0.140,0.226
0.160,0.226
0.180,0.225
0.200,0.226
0.220,0.226
0.240,0.228
0.260,0.230
0.280,0.233
0.300,0.237
0.320,0.241
0.340,0.246
0.360,0.251
0.380,0.257
0.400,0.264
0.420,0.271
0.440,0.279
0.460,0.288
0.480,0.298
0.500,0.308
0.520,0.318
0.540,0.330
0.560,0.342
0.580,0.354
0.600,0.368
0.620,0.382
0.640,0.394
0.660,0.409
0.680,0.427
0.700,0.444
0.720,0.459
0.740,0.477
0.760,0.498
0.780,0.517
0.800,0.536
0.820,0.557
0.840,0.578
0.860,0.599
0.880,0.621
0.900,0.644
0.920,0.667
0.940,0.691
0.960,0.716
0.980,0.741
1.000,0.767
1.020,0.794
1.040,0.821
1.060,0.849
1.080,0.877
1.100,0.906
1.120,0.936
1.140,0.968
1.160,0.992
1.180,1.004
1.200,1.008
1.220,1.007
1.240,1.003
1.260,1.000
1.280,0.996
1.300,0.993
1.320,0.991
1.340,0.989
1.360,0.989
1.380,0.988
1.400,0.989
1.420,0.989
1.440,0.992
1.460,0.994
1.480,0.996
1.500,0.998
1.520,0.999
1.540,0.999
1.560,0.999
1.580,0.998
1.600,0.997
1.620,0.997
1.640,0.997
1.660,0.996
1.680,0.996
1.700,0.997
1.720,0.997
1.740,0.997
1.760,0.997
1.780,0.997
1.800,0.997
1.820,0.997
1.840,0.997
1.860,0.997
1.880,0.997
1.900,0.997
1.920,0.997
1.940,0.997
1.960,0.997
1.980,0.997
2.000,0.997
