"Tiempo (s) Serie Nº 1","Posición (m) Serie Nº 1"
0.020,0.224
0.040,0.224
0.060,0.224
0.080,0.224
0.100,0.224
0.120,0.224
0.140,0.224
0.160,0.225
0.180,0.225
0.200,0.225
0.220,0.225
0.240,0.225
0.260,0.225
0.280,0.225
0.300,0.226
0.320,0.227
0.340,0.230
0.360,0.233
0.380,0.236
0.400,0.240
0.420,0.245
0.440,0.251
0.460,0.257
0.480,0.264
0.500,0.271
0.520,0.279
0.540,0.288
0.560,0.297
0.580,0.308
0.600,0.318
0.620,0.330
0.640,0.342
0.660,0.354
0.680,0.367
0.700,0.382
0.720,0.394
0.740,0.409
0.760,0.425
0.780,0.444
0.800,0.461
0.820,0.477
0.840,0.497
0.860,0.517
0.880,0.536
0.900,0.557
0.920,0.578
0.940,0.599
0.960,0.621
0.980,0.644
1.000,0.668
1.020,0.692
1.040,0.716
1.060,0.742
1.080,0.768
1.100,0.794
1.120,0.822
1.140,0.850
1.160,0.878
1.180,0.907
1.200,0.931
1.220,0.957
1.240,0.978
1.260,0.995
1.280,1.001
1.300,1.003
1.320,1.002
1.340,1.001
1.360,0.999
1.380,0.997
1.400,0.997
1.420,0.996
1.440,0.996
1.460,0.996
1.480,0.996
1.500,0.996
1.520,0.995
1.540,0.995
1.560,0.994
1.580,0.994
1.600,0.993
1.620,0.993
1.640,0.993
1.660,0.993
1.680,0.993
1.700,0.993
1.720,0.993
1.740,0.993
1.760,0.993
1.780,0.993
1.800,0.993
1.820,0.993
1.840,0.992
1.860,0.992
1.880,0.992
1.900,0.992
1.920,0.992
1.940,0.992
1.960,0.992
1.980,0.992
2.000,0.992
