"Tiempo (s) Serie Nº 1","Posición (m) Serie Nº 1"
0.020,0.223
0.040,0.223
0.060,0.223
0.080,0.223
0.100,0.223
0.120,0.223
0.140,0.223
0.160,0.223
0.180,0.223
0.200,0.223
0.220,0.223
0.240,0.223
0.260,0.224
0.280,0.225
0.300,0.227
0.320,0.230
0.340,0.233
0.360,0.237
0.380,0.242
0.400,0.247
0.420,0.253
0.440,0.260
0.460,0.267
0.480,0.275
0.500,0.283
0.520,0.293
0.540,0.302
0.560,0.313
0.580,0.324
0.600,0.336
0.620,0.348
0.640,0.361
0.660,0.375
0.680,0.389
0.700,0.404
0.720,0.420
0.740,0.436
0.760,0.453
0.780,0.469
0.800,0.489
0.820,0.508
0.840,0.528
0.860,0.548
0.880,0.569
0.900,0.590
0.920,0.612
0.940,0.635
0.960,0.658
0.980,0.682
1.000,0.707
1.020,0.732
1.040,0.757
1.060,0.784
1.080,0.811
1.100,0.839
1.120,0.867
1.140,0.896
1.160,0.925
1.180,0.954
1.200,0.980
1.220,1.004
1.240,1.019
1.260,1.025
1.280,1.019
1.300,1.011
1.320,1.008
1.340,1.006
1.360,1.006
1.380,1.005
1.400,1.005
1.420,1.005
1.440,1.006
1.460,1.007
1.480,1.007
1.500,1.007
1.520,1.007
1.540,1.006
1.560,1.005
1.580,1.004
1.600,1.004
1.620,1.004
1.640,1.004
1.660,1.004
1.680,1.003
1.700,1.003
1.720,1.003
1.740,1.003
1.760,1.002
1.780,1.002
1.800,1.001
1.820,1.001
1.840,1.000
1.860,1.000
1.880,1.000
1.900,0.999
1.920,0.999
1.940,0.998
1.960,0.998
1.980,0.997
2.000,0.997
